date,year,month,day,day_of_week,day_name,week_of_year,quarter,is_public_holiday,is_school_holiday,temperature,precipitation,weather_type,special_exhibition,local_event,marketing_campaign,ticket_promotion,ticket_price,visitors_last_week,visitors_last_2weeks,visitors_last_month,visitors_7day_avg,visitors_14day_avg,visitors_30day_avg,visitors_same_day_last_year,visitors,dow_sin,dow_cos,month_sin,month_cos,doy,doy_sin,doy_cos,woy_sin,woy_cos,is_weekend,season,season_Autumn,season_Spring,season_Summer,season_Winter,weather_encoded,weather_Cloudy,weather_Partly Cloudy,weather_Rainy,weather_Sunny,days_since_start,weekend_x_public_holiday,weekend_x_school_holiday,exhibition_x_weekend,sunny_weekend,marketing_x_exhibition,any_boost,boost_count,visitors_lag_1,visitors_lag_2,visitors_lag_3,visitors_lag_14,visitors_lag_21,visitors_lag_28,visitors_lag_60,visitors_lag_90,rolling_mean_3d,rolling_std_3d,rolling_max_3d,rolling_min_3d,rolling_mean_7d,rolling_std_7d,rolling_max_7d,rolling_min_7d,rolling_mean_14d,rolling_std_14d,rolling_max_14d,rolling_min_14d,rolling_mean_30d,rolling_std_30d,rolling_max_30d,rolling_min_30d,rolling_mean_60d,rolling_std_60d,rolling_max_60d,rolling_min_60d,rolling_mean_90d,rolling_std_90d,rolling_max_90d,rolling_min_90d,ewma_7d,ewma_14d,ewma_30d,lag_7_same_dow,lag_14_same_dow,lag_21_same_dow,lag_28_same_dow,mean_last_4_same_dow,visitors_log
2023-04-01,2023,4,1,5,Saturday,13,2,0,1,23.4,0.2,Sunny,1,0,0,0,25,557.0,488.0,350.0,494.8571428571428,516.1428571428571,452.53333333333336,380.9425444596443,848,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,91,0.9999907397361901,0.004303538296244289,1.0,-1.6081226496766364e-16,1,Autumn,1,0,0,0,3,0,0,0,1,90,0,1,1,1,0,1,2,438.0,390.0,359.0,488.0,486.0,461.0,415.0,931.0,395.6666666666667,39.80368492154028,438.0,359.0,453.2857142857143,201.16470390015758,856.0,263.0,490.42857142857144,152.21680604964786,856.0,263.0,435.93333333333334,126.50471800751511,856.0,263.0,473.95,180.70271728421326,1143.0,225.0,451.46666666666664,174.03752662617714,1143.0,216.0,434.1447018070164,454.24500150005906,458.3792300060471,557.0,488.0,486.0,461.0,498.0,6.744059186311348
2023-04-02,2023,4,2,6,Sunday,13,2,0,1,9.2,1.8,Cloudy,1,0,1,0,25,856.0,515.0,280.0,436.7142857142857,511.4285714285714,458.1666666666667,380.9425444596443,449,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,92,0.9999166586547379,-0.01291029607500882,1.0,-1.6081226496766364e-16,1,Autumn,1,0,0,0,1,1,0,0,0,91,0,1,1,0,1,1,3,848.0,438.0,390.0,515.0,490.0,427.0,602.0,423.0,558.6666666666666,251.7167720540952,848.0,390.0,494.85714285714283,250.24949455255555,856.0,263.0,516.1428571428571,179.7014006806666,856.0,263.0,452.53333333333336,146.00985638277828,856.0,263.0,481.1666666666667,186.8502678587057,1143.0,225.0,450.5444444444444,171.67176422379532,1143.0,216.0,537.6085263552623,506.74566796671786,483.5160538766247,856.0,515.0,490.0,427.0,572.0,6.1092475827643655
2023-04-03,2023,4,3,0,Monday,14,2,0,1,22.0,1.6,Cloudy,1,0,1,0,25,263.0,387.0,461.0,473.2857142857143,520.8571428571429,460.1,380.9425444596443,519,0.0,1.0,1.0,6.123233995736766e-17,93,0.9995462806873573,-0.030120304846908114,0.992708874098054,-0.12053668025532288,0,Autumn,1,0,0,0,1,1,0,0,0,92,0,0,0,0,1,1,3,449.0,848.0,438.0,387.0,469.0,426.0,1104.0,216.0,578.3333333333334,233.60293947922258,848.0,438.0,436.7142857142857,193.11629854029601,848.0,263.0,511.42857142857144,180.59717788310186,856.0,263.0,458.1666666666667,142.33764697762305,856.0,263.0,478.6166666666667,186.21621219328844,1143.0,225.0,450.8333333333333,171.64676623679975,1143.0,216.0,515.4563947664467,499.0462455711555,481.28921169103603,263.0,387.0,469.0,426.0,386.25,6.253828811575473
2023-04-04,2023,4,4,1,Tuesday,14,2,0,1,15.9,0.5,Cloudy,1,0,0,0,25,310.0,531.0,427.0,476.57142857142856,506.7142857142857,456.9666666666666,380.9425444596443,333,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,94,0.9988797155850336,-0.04732138832243185,0.992708874098054,-0.12053668025532288,0,Autumn,1,0,0,0,1,1,0,0,0,93,0,0,0,0,0,1,2,519.0,449.0,848.0,531.0,300.0,295.0,431.0,272.0,605.3333333333334,213.05007236171815,848.0,449.0,473.2857142857143,178.4168473787479,848.0,310.0,520.8571428571429,177.01145427642535,856.0,263.0,460.1,142.77069872278804,856.0,263.0,468.8666666666667,167.26792338069603,1143.0,225.0,454.2,169.95215453609492,1143.0,225.0,516.3422960748351,501.7067461616681,483.72216577548534,310.0,531.0,300.0,295.0,359.0,5.8111409929767
2023-04-05,2023,4,5,2,Wednesday,14,2,0,1,11.9,2.0,Cloudy,1,0,0,0,25,359.0,543.0,426.0,476.0,493.2857142857143,454.6,380.9425444596443,355,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,95,0.9979171608653922,-0.06450844944931623,0.992708874098054,-0.12053668025532288,0,Autumn,1,0,0,0,1,1,0,0,0,94,0,0,0,0,0,1,2,333.0,519.0,449.0,543.0,382.0,431.0,631.0,246.0,433.6666666666667,93.94324527784445,519.0,333.0,476.57142857142856,175.08936493769605,848.0,333.0,506.7142857142857,183.91403868757192,856.0,263.0,456.96666666666664,144.54267555802082,856.0,263.0,467.23333333333335,168.12025222750395,1143.0,225.0,454.8777777777778,169.33789290213323,1143.0,225.0,470.5067220561263,479.21251334011237,473.9981550802928,359.0,543.0,382.0,431.0,428.75,5.87493073085203
2023-04-06,2023,4,6,3,Thursday,14,2,0,1,10.2,3.4,Cloudy,1,0,0,0,25,390.0,581.0,295.0,475.0,479.1428571428572,457.53333333333336,380.9425444596443,383,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,96,0.9966589017541702,-0.08167639533042241,0.992708874098054,-0.12053668025532288,0,Autumn,1,0,0,0,1,1,0,0,0,95,0,0,0,0,0,1,2,355.0,333.0,519.0,581.0,338.0,283.0,690.0,436.0,402.3333333333333,101.63332786705955,519.0,333.0,476.0,175.5429671998663,848.0,333.0,493.2857142857143,187.88148005977231,856.0,263.0,454.6,145.64425246422215,856.0,263.0,462.6333333333333,167.3374715314268,1143.0,225.0,456.0888888888889,168.21325713259364,1143.0,225.0,441.6300415420947,462.650844894764,466.320854752532,390.0,581.0,338.0,283.0,398.0,5.950642552587727
2023-04-07,2023,4,7,4,Friday,14,2,1,1,14.7,0.1,Sunny,1,0,1,0,25,438.0,648.0,431.0,528.1428571428571,490.7142857142857,470.1666666666667,380.9425444596443,810,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,97,0.9951053111006976,-0.09882013873287143,0.992708874098054,-0.12053668025532288,0,Autumn,1,0,0,0,3,0,0,0,1,96,0,0,0,0,1,1,4,383.0,355.0,333.0,648.0,447.0,347.0,346.0,459.0,357.0,25.0599281722805,383.0,333.0,475.0,176.13347211702833,848.0,333.0,479.14285714285717,188.2228046115142,856.0,263.0,457.53333333333336,143.18440806401964,856.0,263.0,457.51666666666665,164.94390332151673,1143.0,225.0,455.5,168.37706814959006,1143.0,225.0,426.97253115657105,452.0307322421288,460.9453157362396,438.0,648.0,447.0,347.0,470.0,6.698268054115413
2023-04-08,2023,4,8,5,Saturday,14,2,1,1,19.2,1.4,Cloudy,1,0,0,0,25,848.0,557.0,283.0,523.8571428571429,509.3571428571428,488.0,380.9425444596443,818,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,98,0.9932568492674143,-0.11593459959550041,0.992708874098054,-0.12053668025532288,1,Autumn,1,0,0,0,1,1,0,0,0,97,1,1,1,0,0,1,3,810.0,383.0,355.0,557.0,488.0,486.0,506.0,315.0,516.0,254.99607840121772,810.0,355.0,528.1428571428571,214.95148954390356,848.0,333.0,490.7142857142857,203.74208000517527,856.0,263.0,470.1666666666667,156.8320171686745,856.0,263.0,465.25,170.4134180481322,1143.0,225.0,459.4,172.47418305423201,1143.0,225.0,522.7293983674283,499.7599679431783,483.4649727855145,848.0,557.0,488.0,486.0,594.75,6.70808408385307
2023-04-09,2023,4,9,6,Sunday,14,2,1,1,15.0,2.3,Cloudy,1,0,0,1,20,449.0,856.0,347.0,615.4285714285714,526.0714285714286,512.7666666666667,380.9425444596443,1090,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,99,0.9911140639934547,-0.1330147065341959,0.992708874098054,-0.12053668025532288,1,Autumn,1,0,0,0,1,1,0,0,0,98,1,1,1,0,0,1,4,818.0,810.0,383.0,856.0,515.0,490.0,266.0,248.0,670.3333333333334,248.8701133791147,818.0,383.0,523.8571428571429,207.68760881945482,818.0,333.0,509.35714285714283,221.4458110977657,856.0,263.0,488.0,165.01912114911894,856.0,263.0,470.45,176.33523783321056,1143.0,225.0,464.9888888888889,175.8588871503593,1143.0,225.0,596.5470487755713,542.1919722174212,505.0478777670942,449.0,856.0,515.0,490.0,577.5,6.994849985833071
2023-04-10,2023,4,10,0,Monday,15,2,1,1,21.5,0.6,Cloudy,1,0,0,0,25,519.0,263.0,486.0,623.5714285714286,548.4285714285714,515.7666666666667,380.9425444596443,576,0.0,1.0,1.0,6.123233995736766e-17,100,0.9886775902323405,-0.1500553983446526,0.9709418174260521,-0.2393156642875575,0,Autumn,1,0,0,0,1,1,0,0,0,99,0,0,0,0,0,1,3,1090.0,818.0,810.0,263.0,387.0,469.0,412.0,414.0,906.0,159.39887076137077,1090.0,810.0,615.4285714285714,292.97944020178693,1090.0,333.0,526.0714285714286,255.79001733264153,1090.0,263.0,512.7666666666667,195.97935910549944,1090.0,263.0,484.18333333333334,191.57151089165308,1143.0,225.0,474.34444444444443,186.27400146148793,1143.0,225.0,719.9102865816785,615.2330425884317,542.7867243627655,519.0,263.0,387.0,469.0,409.5,6.3578422665081
